Party,Votes
AAAP{1.11%},7147800
ADAL{0.13%},808245
ADMK{1.39%},8952587
AGP{0.20%},1298707
AIFB{0.04%},289941
AIMIM{0.22%},1400215
AITC{4.37%},28213393
AIUDF{0.10%},625954
AJSUP{0.07%},458677
BHRS{0.57%},3657237
BJD{1.46%},9413379
BJP{36.56%},235973935
BOPF{0.12%},777570
BSP{2.04%},13153818
CPI{0.49%},3157184
CPI(M){1.76%},11342553
CPI(ML)(L){0.27%},1736771
DMDK{0.17%},1128616
DMK{1.82%},11754710
INC{21.19%},136759064
INLD{0.04%},226975
IUML{0.27%},1716186
JD(S){0.34%},2173701
JD(U){1.25%},8039663
JKN{0.18%},1147041
JKNPPB{0.00%},23268
JKPDP{0.07%},435980
JMM{0.41%},2652955
JNJP{0.02%},113827
KEC(M){0.04%},277365
LJPRV{0.44%},2810250
MNF{0.02%},140264
NCP{0.32%},2059179
NCPSP{0.92%},5921162
NDPP{0.05%},350967
NOTA{0.99%},6372220
NPEP{0.06%},417930
NPF{0.05%},299536
RJD{1.57%},10107402
RLTP{0.09%},596955
RVLTGONP{0.01%},64578
SAD{0.28%},1814318
SDF{0.01%},77171
SHS{1.15%},7401447
SHSUBT{1.48%},9567779
SKM{0.03%},164396
SP{4.58%},29549381
TDP{1.98%},12775270
UDP{0.01%},44563
UPPL{0.08%},488995
VOTPP{0.09%},571078
YSRCP{2.06%},13316039
ZPM{0.03%},208552
Others{7.03%},45386696
